Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
8378563200,4/12/2016 12:00:00 AM,1,338,356
8378563200,4/13/2016 12:00:00 AM,2,447,487
8378563200,4/14/2016 12:00:00 AM,1,424,455
8378563200,4/15/2016 12:00:00 AM,1,513,533
8378563200,4/16/2016 12:00:00 AM,2,611,689
8378563200,4/17/2016 12:00:00 AM,2,525,591
8378563200,4/18/2016 12:00:00 AM,1,398,451
8378563200,4/19/2016 12:00:00 AM,1,387,421
8378563200,4/20/2016 12:00:00 AM,1,381,409
8378563200,4/21/2016 12:00:00 AM,1,396,417
8378563200,4/22/2016 12:00:00 AM,1,441,469
8378563200,4/23/2016 12:00:00 AM,1,565,591
8378563200,4/24/2016 12:00:00 AM,1,458,492
8378563200,4/25/2016 12:00:00 AM,1,388,402
8378563200,4/25/2016 12:00:00 AM,1,388,402
8378563200,4/26/2016 12:00:00 AM,1,550,584
8378563200,4/27/2016 12:00:00 AM,1,531,600
8378563200,4/28/2016 12:00:00 AM,1,506,556
8378563200,4/29/2016 12:00:00 AM,1,527,562
8378563200,4/30/2016 12:00:00 AM,1,468,555
8378563200,5/1/2016 12:00:00 AM,1,475,539
8378563200,5/2/2016 12:00:00 AM,1,351,385
8378563200,5/3/2016 12:00:00 AM,1,405,429
8378563200,5/4/2016 12:00:00 AM,1,441,477
8378563200,5/5/2016 12:00:00 AM,1,381,417
8378563200,5/6/2016 12:00:00 AM,1,323,355
8378563200,5/7/2016 12:00:00 AM,2,459,513
8378563200,5/8/2016 12:00:00 AM,1,545,606
8378563200,5/9/2016 12:00:00 AM,1,359,399
8378563200,5/10/2016 12:00:00 AM,1,342,391
8378563200,5/11/2016 12:00:00 AM,1,368,387
8378563200,5/12/2016 12:00:00 AM,1,496,546
