Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2347167796,4/13/2016 12:00:00 AM,1,467,531
2347167796,4/14/2016 12:00:00 AM,1,445,489
2347167796,4/15/2016 12:00:00 AM,1,452,504
2347167796,4/17/2016 12:00:00 AM,1,556,602
2347167796,4/18/2016 12:00:00 AM,1,500,557
2347167796,4/19/2016 12:00:00 AM,1,465,514
2347167796,4/21/2016 12:00:00 AM,1,460,484
2347167796,4/22/2016 12:00:00 AM,1,405,461
2347167796,4/23/2016 12:00:00 AM,1,374,386
2347167796,4/24/2016 12:00:00 AM,1,442,459
2347167796,4/25/2016 12:00:00 AM,1,433,471
2347167796,4/26/2016 12:00:00 AM,1,436,490
2347167796,4/27/2016 12:00:00 AM,1,448,499
2347167796,4/28/2016 12:00:00 AM,1,408,450
2347167796,4/29/2016 12:00:00 AM,1,411,473
