Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4319703577,4/14/2016 12:00:00 AM,1,535,557
4319703577,4/15/2016 12:00:00 AM,1,465,491
4319703577,4/16/2016 12:00:00 AM,1,506,522
4319703577,4/18/2016 12:00:00 AM,1,515,551
4319703577,4/19/2016 12:00:00 AM,2,461,498
4319703577,4/20/2016 12:00:00 AM,1,523,543
4319703577,4/21/2016 12:00:00 AM,1,59,65
4319703577,4/22/2016 12:00:00 AM,1,533,550
4319703577,4/23/2016 12:00:00 AM,1,692,722
4319703577,4/24/2016 12:00:00 AM,1,467,501
4319703577,4/25/2016 12:00:00 AM,1,488,506
4319703577,4/26/2016 12:00:00 AM,1,505,516
4319703577,4/27/2016 12:00:00 AM,1,286,307
4319703577,4/28/2016 12:00:00 AM,1,497,522
4319703577,4/29/2016 12:00:00 AM,1,523,546
4319703577,4/30/2016 12:00:00 AM,1,490,516
4319703577,5/1/2016 12:00:00 AM,1,484,500
4319703577,5/2/2016 12:00:00 AM,1,478,506
4319703577,5/3/2016 12:00:00 AM,1,474,512
4319703577,5/6/2016 12:00:00 AM,1,450,491
4319703577,5/7/2016 12:00:00 AM,1,507,530
4319703577,5/8/2016 12:00:00 AM,1,602,638
4319703577,5/9/2016 12:00:00 AM,1,535,565
4319703577,5/10/2016 12:00:00 AM,1,487,517
4319703577,5/11/2016 12:00:00 AM,1,529,558
4319703577,5/12/2016 12:00:00 AM,1,302,321
