Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4702921684,4/12/2016 12:00:00 AM,1,425,439
4702921684,4/13/2016 12:00:00 AM,2,400,430
4702921684,4/14/2016 12:00:00 AM,1,384,415
4702921684,4/15/2016 12:00:00 AM,1,253,257
4702921684,4/16/2016 12:00:00 AM,2,382,406
4702921684,4/17/2016 12:00:00 AM,1,591,612
4702921684,4/18/2016 12:00:00 AM,1,293,312
4702921684,4/19/2016 12:00:00 AM,1,457,487
4702921684,4/20/2016 12:00:00 AM,1,454,468
4702921684,4/21/2016 12:00:00 AM,1,425,434
4702921684,4/23/2016 12:00:00 AM,1,465,475
4702921684,4/24/2016 12:00:00 AM,1,480,506
4702921684,4/25/2016 12:00:00 AM,1,370,380
4702921684,4/26/2016 12:00:00 AM,1,421,429
4702921684,4/27/2016 12:00:00 AM,1,432,449
4702921684,4/28/2016 12:00:00 AM,1,442,461
4702921684,4/29/2016 12:00:00 AM,1,433,447
4702921684,4/30/2016 12:00:00 AM,1,479,501
4702921684,5/3/2016 12:00:00 AM,1,327,373
4702921684,5/4/2016 12:00:00 AM,1,412,434
4702921684,5/5/2016 12:00:00 AM,1,414,428
4702921684,5/6/2016 12:00:00 AM,1,404,449
4702921684,5/7/2016 12:00:00 AM,1,520,543
4702921684,5/7/2016 12:00:00 AM,1,520,543
4702921684,5/9/2016 12:00:00 AM,1,435,458
4702921684,5/10/2016 12:00:00 AM,1,416,431
4702921684,5/11/2016 12:00:00 AM,1,354,366
4702921684,5/12/2016 12:00:00 AM,1,404,442
