Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3977333714,4/12/2016 12:00:00 AM,1,274,469
3977333714,4/13/2016 12:00:00 AM,2,295,456
3977333714,4/14/2016 12:00:00 AM,1,291,397
3977333714,4/15/2016 12:00:00 AM,1,424,556
3977333714,4/16/2016 12:00:00 AM,1,283,510
3977333714,4/17/2016 12:00:00 AM,1,381,566
3977333714,4/18/2016 12:00:00 AM,2,412,522
3977333714,4/19/2016 12:00:00 AM,1,219,395
3977333714,4/20/2016 12:00:00 AM,2,152,305
3977333714,4/21/2016 12:00:00 AM,1,332,512
3977333714,4/22/2016 12:00:00 AM,1,355,476
3977333714,4/23/2016 12:00:00 AM,1,235,372
3977333714,4/24/2016 12:00:00 AM,1,310,526
3977333714,4/25/2016 12:00:00 AM,1,262,467
3977333714,4/26/2016 12:00:00 AM,1,250,371
3977333714,4/27/2016 12:00:00 AM,1,349,540
3977333714,4/28/2016 12:00:00 AM,1,261,423
3977333714,4/29/2016 12:00:00 AM,1,333,478
3977333714,4/30/2016 12:00:00 AM,1,237,382
3977333714,5/1/2016 12:00:00 AM,1,383,626
3977333714,5/2/2016 12:00:00 AM,1,230,384
3977333714,5/3/2016 12:00:00 AM,1,292,500
3977333714,5/4/2016 12:00:00 AM,1,213,336
3977333714,5/5/2016 12:00:00 AM,1,318,480
3977333714,5/6/2016 12:00:00 AM,1,323,512
3977333714,5/7/2016 12:00:00 AM,1,237,443
3977333714,5/8/2016 12:00:00 AM,2,259,456
3977333714,5/10/2016 12:00:00 AM,1,312,452
