Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
2026352035,4/12/2016 12:00:00 AM,1,503,546
2026352035,4/13/2016 12:00:00 AM,1,531,565
2026352035,4/14/2016 12:00:00 AM,1,545,568
2026352035,4/15/2016 12:00:00 AM,1,523,573
2026352035,4/16/2016 12:00:00 AM,1,524,567
2026352035,4/17/2016 12:00:00 AM,1,437,498
2026352035,4/19/2016 12:00:00 AM,1,498,540
2026352035,4/20/2016 12:00:00 AM,1,461,510
2026352035,4/21/2016 12:00:00 AM,1,477,514
2026352035,4/22/2016 12:00:00 AM,1,520,545
2026352035,4/23/2016 12:00:00 AM,1,522,554
2026352035,4/24/2016 12:00:00 AM,1,555,591
2026352035,4/25/2016 12:00:00 AM,1,506,531
2026352035,4/27/2016 12:00:00 AM,1,508,545
2026352035,4/28/2016 12:00:00 AM,1,513,545
2026352035,4/29/2016 12:00:00 AM,1,490,510
2026352035,4/30/2016 12:00:00 AM,1,573,607
2026352035,5/1/2016 12:00:00 AM,1,527,546
2026352035,5/2/2016 12:00:00 AM,1,511,543
2026352035,5/4/2016 12:00:00 AM,1,538,560
2026352035,5/5/2016 12:00:00 AM,1,468,485
2026352035,5/6/2016 12:00:00 AM,1,524,548
2026352035,5/7/2016 12:00:00 AM,1,511,521
2026352035,5/8/2016 12:00:00 AM,1,541,568
2026352035,5/9/2016 12:00:00 AM,1,531,556
2026352035,5/10/2016 12:00:00 AM,1,357,380
2026352035,5/11/2016 12:00:00 AM,1,523,553
2026352035,5/12/2016 12:00:00 AM,1,456,485
