Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4388161847,4/15/2016 12:00:00 AM,1,499,526
4388161847,4/16/2016 12:00:00 AM,2,426,448
4388161847,4/17/2016 12:00:00 AM,2,619,641
4388161847,4/18/2016 12:00:00 AM,1,99,104
4388161847,4/19/2016 12:00:00 AM,1,329,338
4388161847,4/20/2016 12:00:00 AM,1,421,451
4388161847,4/21/2016 12:00:00 AM,1,442,458
4388161847,4/22/2016 12:00:00 AM,1,82,85
4388161847,4/23/2016 12:00:00 AM,1,478,501
4388161847,4/24/2016 12:00:00 AM,3,552,595
4388161847,4/26/2016 12:00:00 AM,1,319,346
4388161847,4/27/2016 12:00:00 AM,1,439,500
4388161847,4/28/2016 12:00:00 AM,1,428,458
4388161847,4/30/2016 12:00:00 AM,2,409,430
4388161847,5/1/2016 12:00:00 AM,1,547,597
4388161847,5/2/2016 12:00:00 AM,2,368,376
4388161847,5/4/2016 12:00:00 AM,1,390,414
4388161847,5/5/2016 12:00:00 AM,1,471,495
4388161847,5/5/2016 12:00:00 AM,1,471,495
4388161847,5/7/2016 12:00:00 AM,1,472,496
4388161847,5/8/2016 12:00:00 AM,2,529,541
4388161847,5/9/2016 12:00:00 AM,1,62,65
4388161847,5/10/2016 12:00:00 AM,1,354,375
4388161847,5/11/2016 12:00:00 AM,1,469,494
