Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4445114986,4/12/2016 12:00:00 AM,2,429,457
4445114986,4/13/2016 12:00:00 AM,2,370,406
4445114986,4/14/2016 12:00:00 AM,1,441,492
4445114986,4/15/2016 12:00:00 AM,2,337,379
4445114986,4/16/2016 12:00:00 AM,1,462,499
4445114986,4/17/2016 12:00:00 AM,1,98,107
4445114986,4/19/2016 12:00:00 AM,2,388,424
4445114986,4/20/2016 12:00:00 AM,1,439,462
4445114986,4/21/2016 12:00:00 AM,1,436,469
4445114986,4/22/2016 12:00:00 AM,1,388,417
4445114986,4/25/2016 12:00:00 AM,1,328,345
4445114986,4/26/2016 12:00:00 AM,2,353,391
4445114986,4/27/2016 12:00:00 AM,1,332,374
4445114986,4/28/2016 12:00:00 AM,1,419,442
4445114986,4/29/2016 12:00:00 AM,1,106,108
4445114986,4/30/2016 12:00:00 AM,1,322,353
4445114986,5/1/2016 12:00:00 AM,2,439,459
4445114986,5/2/2016 12:00:00 AM,1,502,542
4445114986,5/3/2016 12:00:00 AM,2,417,450
4445114986,5/4/2016 12:00:00 AM,2,337,363
4445114986,5/5/2016 12:00:00 AM,2,462,513
4445114986,5/6/2016 12:00:00 AM,2,374,402
4445114986,5/7/2016 12:00:00 AM,2,401,436
4445114986,5/8/2016 12:00:00 AM,1,361,391
4445114986,5/9/2016 12:00:00 AM,1,457,533
4445114986,5/10/2016 12:00:00 AM,1,405,426
4445114986,5/11/2016 12:00:00 AM,1,499,530
4445114986,5/12/2016 12:00:00 AM,1,483,501
