Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6962181067,4/12/2016 12:00:00 AM,1,366,387
6962181067,4/13/2016 12:00:00 AM,3,630,679
6962181067,4/14/2016 12:00:00 AM,2,508,535
6962181067,4/15/2016 12:00:00 AM,1,370,386
6962181067,4/16/2016 12:00:00 AM,1,357,366
6962181067,4/17/2016 12:00:00 AM,1,427,446
6962181067,4/18/2016 12:00:00 AM,1,442,458
6962181067,4/19/2016 12:00:00 AM,1,476,535
6962181067,4/20/2016 12:00:00 AM,1,418,424
6962181067,4/21/2016 12:00:00 AM,1,451,457
6962181067,4/22/2016 12:00:00 AM,1,425,435
6962181067,4/23/2016 12:00:00 AM,1,528,546
6962181067,4/24/2016 12:00:00 AM,1,511,514
6962181067,4/25/2016 12:00:00 AM,1,400,415
6962181067,4/26/2016 12:00:00 AM,1,441,446
6962181067,4/27/2016 12:00:00 AM,1,455,467
6962181067,4/28/2016 12:00:00 AM,1,440,453
6962181067,4/29/2016 12:00:00 AM,1,433,447
6962181067,4/30/2016 12:00:00 AM,1,422,424
6962181067,5/1/2016 12:00:00 AM,1,411,426
6962181067,5/2/2016 12:00:00 AM,1,466,482
6962181067,5/3/2016 12:00:00 AM,1,394,418
6962181067,5/4/2016 12:00:00 AM,1,442,455
6962181067,5/5/2016 12:00:00 AM,1,467,491
6962181067,5/6/2016 12:00:00 AM,1,443,462
6962181067,5/7/2016 12:00:00 AM,1,298,334
6962181067,5/8/2016 12:00:00 AM,1,541,569
6962181067,5/9/2016 12:00:00 AM,1,489,497
6962181067,5/10/2016 12:00:00 AM,1,469,481
6962181067,5/11/2016 12:00:00 AM,1,452,480
6962181067,5/12/2016 12:00:00 AM,1,516,535
