Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5577150313,4/12/2016 12:00:00 AM,1,419,438
5577150313,4/13/2016 12:00:00 AM,1,432,458
5577150313,4/14/2016 12:00:00 AM,1,477,497
5577150313,4/15/2016 12:00:00 AM,1,392,413
5577150313,4/16/2016 12:00:00 AM,1,406,445
5577150313,4/17/2016 12:00:00 AM,1,549,583
5577150313,4/18/2016 12:00:00 AM,1,527,553
5577150313,4/19/2016 12:00:00 AM,1,449,465
5577150313,4/20/2016 12:00:00 AM,1,447,480
5577150313,4/21/2016 12:00:00 AM,1,414,437
5577150313,4/22/2016 12:00:00 AM,1,338,366
5577150313,4/23/2016 12:00:00 AM,1,384,402
5577150313,4/24/2016 12:00:00 AM,1,543,615
5577150313,4/25/2016 12:00:00 AM,1,421,461
5577150313,4/26/2016 12:00:00 AM,1,354,377
5577150313,4/27/2016 12:00:00 AM,1,424,452
5577150313,4/28/2016 12:00:00 AM,1,361,372
5577150313,4/29/2016 12:00:00 AM,1,459,485
5577150313,4/30/2016 12:00:00 AM,1,412,433
5577150313,5/1/2016 12:00:00 AM,1,379,398
5577150313,5/2/2016 12:00:00 AM,2,525,553
5577150313,5/3/2016 12:00:00 AM,1,508,543
5577150313,5/4/2016 12:00:00 AM,1,603,634
5577150313,5/5/2016 12:00:00 AM,1,74,78
5577150313,5/10/2016 12:00:00 AM,1,504,562
5577150313,5/11/2016 12:00:00 AM,1,431,476
