Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
5553957443,4/12/2016 12:00:00 AM,1,441,464
5553957443,4/13/2016 12:00:00 AM,2,455,488
5553957443,4/14/2016 12:00:00 AM,1,357,418
5553957443,4/15/2016 12:00:00 AM,1,377,409
5553957443,4/16/2016 12:00:00 AM,2,651,686
5553957443,4/17/2016 12:00:00 AM,1,350,402
5553957443,4/18/2016 12:00:00 AM,2,520,541
5553957443,4/19/2016 12:00:00 AM,1,357,410
5553957443,4/20/2016 12:00:00 AM,1,658,678
5553957443,4/21/2016 12:00:00 AM,1,399,431
5553957443,4/22/2016 12:00:00 AM,1,322,353
5553957443,4/23/2016 12:00:00 AM,2,631,725
5553957443,4/24/2016 12:00:00 AM,2,553,640
5553957443,4/25/2016 12:00:00 AM,1,433,468
5553957443,4/26/2016 12:00:00 AM,1,412,453
5553957443,4/27/2016 12:00:00 AM,1,347,391
5553957443,4/28/2016 12:00:00 AM,1,421,457
5553957443,4/29/2016 12:00:00 AM,1,450,495
5553957443,4/30/2016 12:00:00 AM,2,775,843
5553957443,5/1/2016 12:00:00 AM,2,622,686
5553957443,5/2/2016 12:00:00 AM,1,409,471
5553957443,5/3/2016 12:00:00 AM,1,380,429
5553957443,5/4/2016 12:00:00 AM,1,447,470
5553957443,5/5/2016 12:00:00 AM,1,419,464
5553957443,5/6/2016 12:00:00 AM,1,400,434
5553957443,5/7/2016 12:00:00 AM,1,442,470
5553957443,5/8/2016 12:00:00 AM,1,568,608
5553957443,5/9/2016 12:00:00 AM,1,453,494
5553957443,5/10/2016 12:00:00 AM,1,418,443
5553957443,5/11/2016 12:00:00 AM,1,463,486
5553957443,5/12/2016 12:00:00 AM,1,438,475
